Date,Site,Location,Tide,Month,T,TSS (mg/L),Salinity,DO (mg/L),NH4 (mgN/L),PO4 (mgP/L),TOC (mgC/L)
10/9/2017,Vàm Sát,26,High tide,10,29.1,91,0.05,6.23,0.009,0.099,4.576
10/9/2017,Vàm Sát,26,Low tide,10,29.6,78,0.05,4.95,0.001,0.092,4.324
10/23/2017,Vàm Sát,26,High tide,10,29,91,0.31,4.72,0.014,0.049,4.002
10/23/2017,Vàm Sát,26,Low tide,10,29.1,72,0.13,4.19,0.01,0.049,3.876
11/11/2017,Vàm Sát,26,High tide,11,29.3,462,3.77,5.2,0.016,0.026,5.99
11/11/2017,Vàm Sát,26,Low tide,11,29.3,558,6.17,5.11,0.017,0.026,3.876
11/21/2017,Vàm Sát,26,High tide,11,30,101,0.72,5.75,0.001,0.022,4.324
11/21/2017,Vàm Sát,26,Low tide,11,29.9,109,4.8,5.27,0,0.026,3.778
12/6/2017,Vàm Sát,26,High tide,12,28.3,570,8.67,4.15,0.001,0.016,4.338
12/6/2017,Vàm Sát,26,Low tide,12,29.4,109,15.26,4.18,0,0.024,4.254
12/20/2017,Vàm Sát,26,High tide,12,28.5,172,7.31,3.62,0.027,0.013,4.03
12/20/2017,Vàm Sát,26,Low tide,12,29,86,13.12,3.49,0.016,0.011,3.176
1/15/2018,Vàm Sát,26,High tide,1,28.8,318,10.92,5.65,0.05,0.03,3.575
1/15/2018,Vàm Sát,26,Low tide,1,29.3,80,14.64,5.8,0.02,0.03,3.946
2/14/2018,Vàm Sát,26,High tide,2,29.4,107,12.53,4.83,0.11,0.02,4.184
2/14/2018,Vàm Sát,26,Low tide,2,29.8,109,14.9,4.43,0.12,0.02,4.058
3/16/2018,Vàm Sát,26,High tide,3,28.7,366,14.38,5.68,0,0.04,4.142
3/16/2018,Vàm Sát,26,Low tide,3,29.7,507,15.76,5.28,0,0.04,4.191
4/15/2018,Vàm Sát,26,High tide,4,28.9,181,12.08,4.87,0,0.06,4.149
4/15/2018,Vàm Sát,26,Low tide,4,29.3,205,12.94,4.77,0,0.05,3.666
5/15/2018,Vàm Sát,26,High tide,5,29.2,39,7.26,5.05,0.08,0.03,3.288
5/15/2018,Vàm Sát,26,Low tide,5,29.3,191,9.13,4.91,0.17,0.05,3.526
9/12/2018,Vàm Sát,26,High tide,9,29.4,102,0.86,4.01,0.09,0.05,3.659
9/12/2018,Vàm Sát,26,Low tide,9,28.9,308,2.01,4.7,0,0.07,4.597
10/12/2018,Vàm Sát,26,High tide,10,28.8,109,0.48,5.09,0.08,0.04,5.227
10/12/2018,Vàm Sát,26,Low tide,10,29,167,2.57,4.04,0.13,0.03,5.297
11/11/2018,Vàm Sát,26,High tide,11,28.7,43,,4.31,0.49,0.08,6.557
11/11/2018,Vàm Sát,26,Low tide,11,29.2,28,,3.57,0.53,0.09,3.848
12/11/2018,Vàm Sát,26,High tide,12,28.9,71,,5.71,0.1,0.09,4.114
12/11/2018,Vàm Sát,26,Low tide,12,29.1,460,,5.72,0.04,0.05,3.876
2/12/2017,Ngã Bảy,2,Low tide,2,29.5,208,23.55,,0.062,0.004,3.358
